1630886400,1
1630886400,88
1630886400,189
1630886400,977
1630886400,1629
1630972800,121
1630972800,167
1630972800,206
1630972800,283
1630972800,350
1631059200,118
1631059200,344
1631059200,557
1631059200,566
1631059200,848
1631145600,19
1631145600,36
1631145600,74
1631145600,764
1631145600,876
1631232000,3
1631232000,242
1631232000,383
1631232000,387
1631232000,446
1631232000,567
1631318400,21
1631318400,141
1631318400,203
1631318400,224
1631318400,695
1631318400,733
1631404800,83
1631404800,116
1631404800,617
1631404800,882
1631491200,20
1631491200,542
1631491200,994
1631491200,1189
1631577600,94
1631577600,144
1631577600,145
1631577600,917
1631664000,46
1631664000,77
1631664000,101
1631664000,102
1631664000,104
1631664000,784
1631664000,978
1631750400,54
1631750400,70
1631750400,112
1631750400,120
1631750400,198
1631750400,226
1631836800,191
1631836800,231
1631836800,700
1631836800,701
1631923200,98
1631923200,136
1631923200,190
1631923200,235
1631923200,282
1631923200,653
1632009600,15
1632009600,33
1632009600,34
1632009600,115
1632009600,169
1632096000,56
1632096000,75
1632096000,153
1632096000,162
1632096000,706
1632096000,1275
1632182400,48
1632182400,59
1632182400,82
1632182400,119
1632182400,485
1632268800,11
1632268800,240
1632268800,435
1632268800,844
1632268800,985
1632268800,1239
1632355200,1328
1632355200,438
1632355200,713
1632355200,209
1632355200,334
1632355200,238
1632355200,560
1632468215,1137
1632469428,200
1632470216,547
1632470405,415
1632471088,409
1632555781,1293
1632556546,117
1632557169,572
1632558876,290
1632559678,763
1632639105,1091
1632641232,130
1632642813,797
1632649132,49
1632652111,43
1632653054,782
1632720357,78
1632721240,90
1632721952,187
1632722620,5
1632729760,929
1632794107,47
1632795300,39
1632796828,40
1632797537,2
1632799320,142
1632824560,922
1632891902,17
1632892741,22
1632894985,79
1632896282,160
1632906000,725
1632980038,213
1632980439,55
1632980888,24
1632982627,707
1632987223,698
1633059407,1143
1633059544,45
1633060271,62
1633061197,143
1633062467,25
1633152026,174
1633155807,413
1633156455,155
1633156950,1249
1633158396,1823
1633231996,91
1633233168,139
1633234049,108
1633236433,105
1633239729,103
1633317884,463
1633320734,300
1633321502,673
1633321870,199
1633322411,113
1633324271,450
1633359712,37
1633368103,7
1633369991,93
1633406792,583
1633407952,230
1633408623,173
1633409934,501
1633449083,1545
1633449665,717
1633449971,338
1633450822,898
1633452063,201
1633452404,693
1633453100,1356
1633453939,762
1633494564,442
1633495550,343
1633496519,322
1633497078,72
1633498043,236
1633499699,297
1633572673,997
1633573961,1557
1633575441,841
1633666682,208
1633668536,384
1633669012,215
1633669783,347
1633679723,257
1633681655,4
1633760516,202
1633761755,149
1633763131,451
1633763918,973
1633765094,212
1633768716,96
1633770546,8
1633844239,509
1633844788,6
1633845363,9
1633846805,10
1633935194,543
1633936043,746
1633944690,12
1633945756,114
1633946119,111
1633946964,110
1634008827,374
1634010759,740
1634012282,1887
1634047875,2018
1634098265,1008
1634099545,540
1634099980,1534
1634100393,1822
1634100901,946
1634102483,852
1634183792,279
1634186123,53
1634186921,918
1634263688,309
1634264253,152
1634264916,1567
1634361209,123
1634362149,1014
1634362548,122
1634450834,437
1634451644,714
1634456264,1361
1634457126,1881
1634533028,993
1634534996,42
1634611910,496
1634616335,1559
1634707071,151
1634707826,264
1634709113,148
1634793254,380
1634882128,931
1634954120,154
1634954194,1314
1634954261,304
1635084205,222
1635084466,63
1635142942,64
1635142998,221
1635228790,516
1635229589,561
1635314453,376
1635402727,392
1635483384,518
1635576545,1044
1635577782,377
1635657131,430
1635762185,1480
1635848636,980
1635934602,129
1636020053,404
1636020560,1254
1636107697,441
1636200478,260
1636200975,884
1636268616,951
1636269498,13
1636269925,14
1636367199,621
1636452626,1178
1636537958,1043
1636637312,1413
1636637675,1221
1636712980,888
1636775460,739
1636867104,1286
1636970945,368
1637057607,668
1637144267,16
1637145808,23
1637231266,448
1637332759,461
1637388855,26
1637389266,27
1637390195,28
1637390313,29
1637472197,106
1637575977,18
1637663491,952
1637664293,2011
1637664648,258
1637748640,1002
1637834577,263
1637933848,35
1637992943,31
1638080945,50
1638180456,721
1638267562,85
1638367234,32
1638368659,41
1638421458,328
1638527857,520
1638627730,1032
1638684527,337
1638785770,1217
1638872889,1290
1638957076,563
1639043885,1306
1639130363,790
1639204080,878
1639292692,416
1639390259,1446
1639476347,938
1639562641,147
1639650103,310
1639581445,30
1639754067,57
1639798550,902
1639906705,394
1639994821,1200
