timestamp,id,tc,sc,notes
1630886400,1,n,n,n = |nums.size()|
1630886400,88,n + m,n + m,
1630886400,189,n,n,n = |nums.size()|
1630886400,977,n,n,n = |nums.size()|
1630886400,1629,n,1,n = |releaseTims.size()|
1630972800,121,n,q,n = |prices.size()|
1630972800,167,n,1,n = |numbers.size()|
1630972800,206,n,1,n = node count of |head|
1630972800,283,n,1,n = |nums.size()|
1630972800,350,n * log(n),1,"n = max(|nums1.size()|, |nums2.size()|)"
1631059200,118,n^2,1,n = |numRows.size()|
1631059200,344,n,1,n = |s.size()|
1631059200,557,n,1,n = |s.size()|
1631059200,566,n * m,1,"m = |mat.size()|, n = |mat[i].size()|"
1631059200,848,n,1,n = |shifts.size()|
1631145600,19,n,1,n = node count of |head|
1631145600,36,1,1,
1631145600,74,log(m)*log(n),m,"m = |matrix.size()|, n = |matrix[i].size()|"
1631145600,764,n^2,n^2,
1631145600,876,n,1,n = node count of |head|
1631232000,3,n,1,n = |s.size()|
1631232000,242,n,1,"n = max(|s.size()|, |t.size()|)"
1631232000,383,n,1,"n = |ransomNode.size()|, m = |magazine.size()|"
1631232000,387,n,1,n = |s.size()|
1631232000,446,n^2 * log(n),n^2,n = |nums.size()|
1631232000,567,n*m,n,"m = |s1.size()|, m = |s2.size()|"
1631318400,21,n + m,1,"n = node count of |list1|, m = node count of |list2|"
1631318400,141,n,1,n = node count of |head|
1631318400,203,n,1,n = node count of |head|
1631318400,224,n,n,n = |s.size()|
1631318400,695,m * n,m * n,"m = |grid.size()|, n = |grid[i].size()|"
1631318400,733,m * n,m * n,"m = |image.size()|, n = |image[i].size()|"
1631404800,83,n,1,n = node count of |head|
1631404800,116,n,n,n = node count of |root|
1631404800,617,n + m,1,"n = node count of |root1|, m = node count of |root2| and H = max(height of |root1|, height of |root2|)"
1631404800,882,m * log(m),m * n,m = |edges.size()|
1631491200,20,n,n,n = |s.size()|
1631491200,542,n * m,n * m,"n = |mat.size()|, m = |mat[i].size()|"
1631491200,994,n * m,n * m,"n = |grid.size()|, m = |grid[i].size()|"
1631491200,1189,n,1,n = |text.size()|
1631577600,94,n,log(n),"n = node count of |root|, H = height of |root|"
1631577600,144,n,log(n),"n = node count of |root|, H = height of |root|"
1631577600,145,n,log(n),"n = node count of |root|, H = height of |root|"
1631577600,917,n,1,n = |s.size()|
1631664000,46,n^2,n^2,n = |nums.size()|
1631664000,77,n * k,n * k,
1631664000,101,n,log(n),"n = node count of |root|, H = height of |root|"
1631664000,102,n,log(n),"n = node count of |root|, H = height of |root|"
